总台,#genre#
GRTN-健康频道,http://glive.grtn.cn/live/health.m3u8
GRTN-纪录片,http://glive.grtn.cn/live/jilupian.m3u8
GRTN-荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
GRTN-生活频道,http://glive.grtn.cn/live/life.m3u8
GRTN-文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
梅州综合,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8
梅州公共,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8
汕头综合,https://sttv-tsl.cutv.com/lKGXIQa/p4sgKgX.m3u8
韶关新闻综合,https://livesec.mudu.tv/watch/3h4kba.m3u8
深圳龙岗,http://liveplay.sznews.com/66_showto_live/2647.m3u8
深圳众创TV,http://liveplay.sznews.com/66_showto_live/2645.m3u8
阳江1,https://live.yjtvw.com:8081/live/yjtv1.m3u8
阳江2,https://live.yjtvw.com:8081/live/yjtv2.m3u8
云浮综合,http://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,http://livestream.oeeee.com/slive/17807.m3u8
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv

广西,#genre#
经典影艺,https://live.gxrb.com.cn/pull/red_movies_0501/index.m3u8
刘三姐,https://live.gxrb.com.cn/hls/lsj/index.m3u8
南宁新闻综合,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁公共,https://hls.nntv.cn/nnlive/GGPD_24.m3u8
南宁文旅生活,https://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁影视娱乐,https://hls.nntv.cn/nnlive/YSYL_244.m3u8
南宁慢直播,https://hls.nntv.cn/nnlive/LYL1_24.m3u8
隆安,https://hls.nntv.cn/nnlive/LATV_24.m3u8
北海新闻综合,https://rtmp.gdlive.gdmain.com/live/09em4xbl.m3u8
崇左综合,https://rtmp.gdlive.gdmain.com/live/5podkk10.m3u8
